thang|kdjendok|kdsatker|kddept|kdunit|kdprogram|kdgiat|kdoutput|kdlokasi|kdkabkota|kddekon|kdsoutput|kdkmpnen|kdskmpnen|urskmpnen|kdib|kdlokus|reflokus|nmlokus
2027|01|325237|015|08|WA|4715|EBD|32|52|2|Z27|100| A|Rakor Penyusunan Laporan Keuangan Tingkat UAPPA-W (Full Cost)|00||0|0
2027|01|325237|015|08|WA|4715|EBD|32|52|2|Z36|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|WA|4718|BMB|32|52|2|001|100| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|WA|4719|EBA|32|52|2|994|001| A|TANPA SUB KOMPONEN|00||0|0
2027|01|325237|015|08|WA|4719|EBA|32|52|2|Z08|100| A|Pelaksanaan Supervisi Proses Bisnis KPPN|00||0|0
2027|01|325237|015|08|WA|4719|EBA|32|52|2|Z08|100| B|Koordinasi Inovasi layanan|00||0|0
2027|01|325237|015|08|WA|4719|EBA|32|52|2|Z08|100| C|Monitoring dan Evaluasi Implementasi ISO |00||0|0
2027|01|325237|015|08|WA|4719|EBC|32|52|2|Z12|100|XC|Penyelenggaraan Capacity Building|00||0|0
2027|01|325237|015|08|WA|4722|EBD|32|52|2|Z25|100| A|Pelaksanaan Manajemen Resiko dan Kepatuhan Internal|00||0|0
2027|01|325237|015|08|WA|4722|EBD|32|52|2|Z25|100| B|Pemantauan Kode Etik dan Kepatuhan Pegawai|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| A|Asistensi / Pembinaan Satker BLU|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|002|100| B|Asistensi / Pembinaan Pengelolaan Keuangan BLU Daerah|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|010|100| B|Pembinaan SAP pada Pemerintah Daerah|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|010|100| C|Sosialisasi/Bimtek/Workshop/FGD dengan Pemda|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|011|100| A|Pendampingan Penyusunan dan Penyelesaian Permasalahan Laporan Keuangan UAPPA-W dan BLU|00||0|0
2027|01|325237|015|08|CD|6212|FAC|32|52|2|011|100| B|Asistensi, Sosialisasi dan Bimbingan Teknis UAPPA-W|00||0|0
2027|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| A|Sosialisasi Peraturan/Kebijakan Pelaksanaan Anggaran|00||0|0
2027|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| B|Pengkoordinasian Kerjasama Ekonomi dan Keuangan Daerah|00||0|0
2027|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| C|Pembinaan dan Bimtek Pengelolaan Keuangan Daerah|00||0|0
2027|01|325237|015|08|CD|6212|FAL|32|52|2|001|100| D|Penyerahan DIPA|00||0|0
2027|01|325237|015|08|CD|6212|BDG|32|52|2|001|100| A|Profiling UMKM|00||0|0
2027|01|325237|015|08|CD|6212|BDG|32|52|2|001|100| B|Pemberdayaan UMKM - Sosialisasi/Bimtek/Asistensi dan Bazar/Pojok/Rumah UMKM|00||0|0
2027|01|325237|015|08|CD|6212|BDG|32|52|2|001|100| C|Monitoring dan Evaluasi|00||0|0
2027|01|325237|015|08|CD|6212|BDG|32|52|2|001|100| D|Komunikasi Publik - Bazar/Pojok/Rumah UMKM|00||0|0
